Alokyacham
apipibatac
bhAsvatkar
dalavitati
etatarkayakaira
imdorasyat
kimudhvAmt
laxmIkrIDA
maivAyambh
mugdhAdugd
paulomIkuc
sahakumuda
sitakirama
umIlamtimR
yamtradrAv
