Alambejaga
AmamdamAtr
abhipretAr
agajAmamap
amtarAyati
apUparAsha
asheShavig
atumvAmChativAh
aviralamadadhAr
aviralavig
chalatkarm
damtAgrami
damtAmchal
dordyotada
duritasamU
ekadamtady
ekaradadva
gajAmamAya
gajAmamasy
gamDasthal
gamDodeshA
hastapamka
jagatIdhar
jetumyastr
kalyAmamvo
kroDamtAta
laxmImtamo
malAjAtomA
mamastasma
mamgalakal
pAyAdgajem
pumDrexuda
sAmamdamdi
shivayoHsu
tamAkhupat
uchairbrah
uchairutAlagamD
vamdevamdA
vighmadhvA
vighmeshaH
vighmeshov
yaHsimdhau
yugapatsva
