ApUritamid
ambaravipi
amuShmimud
amulepamAm
auShasAtap
avadhAryak
avijmAtavi
chUDAratmaiHsph
charamagir
chimvachor
dadRshepib
ekatAmivag
etadvyomav
ghaTitamiv
idamabhasi
kAkolamkal
kAshmIraga
kimalambat
kimbhUmaup
limpatIvat
mAkAshamad
mordhvamIx
patitepata
pidadhatit
puraHpUrvA
rAtrirAgam
ramjitAmuv
sadyaHsAmd
sarvedhvAm
shuddhamAv
simdhoHsud
sthagitAmb
tamulagmAi
udAmadigdv
utkhAtachC
vishvamchA
vivasvatAm
vyasamimai
vyasaramub
vyomiprAmg
