AbhAtibAli
amsAkRShTa
apyautsuky
asamukhAlo
bAlAtamvIm
balAmItApA
bhujapamja
chumbameSh
dRShTAdRSh
hastamkamp
itthamtalp
kAmtekAmch
kamThAshle
khidyatikU
mAryastamv
mIramdhram
mIvIdRDhAr
paTAlagmep
raxAmAlika
samAkRShTa
sphuradrom
viramamAth
yAvakarasA
