AbhAtishob
asyAHkachA
asyAHsapax
asyAmamoha
asyAyadAsy
bhAtivimya
chalatkAmi
chikurapra
dhumotudhv
emIdRshaHp
emIdRshovi
etAmavAmbu
iyamukhAmb
lasamaukti
majImUtach
malimAapis
shyAmAmili
smAmArdram
stamAbhoge
svarbhAmur
tamastomab
tasyAHkach
umIladvada
vemIshyAmA
vidhiHkima
vikachakac
