amekasamsh
amubhyashc
apipauruSh
ashvaHshas
avijmAtepa
bhArovivek
evamvAares
hastasyabh
kevalamshA
prajmAvive
shamArtham
shiShyAshr
tarkoprati
tuShTosmit
yAvAmartha
yaHshAstra
yasyamAsti
yasyamAstivivek
yombhastAt
