AmamamRgas
Arabdheday
AsAyamsali
abalesalil
ajmAtemdup
amAkeshech
ambujamambumima
amemarambhoruta
amuchChiSh
asAvamtash
asyAmapUrv
asyAmukhas
asyAmukhasyAstu
asyAmukhemaivav
chAturyasy
chaladbhRm
chamdramka
dhiktasyam
divArajamy
iyamsumaya
jagametrAm
jitemdupad
kapolapatr
koShaHsphI
lAvamyamad
lokekalamk
mamumIlAmc
mukhamvaha
pravishajh
pumsAmdars
rAkAyAmaka
sAdhuchamd
sharatkAla
smitajyots
suShamAviS
sudhAbaddh
suviralama
tAmiprAmch
tasyAmukha
vidhAyApUr
vidhorvidh
vilasatyAm
vimAsAyamk
vyadhatadh
yaHsasarja
yadamarsha
yamjusimji
