amuShmilAv
atibahutar
atumgastam
bhAtiromAv
datamayApa
gabhIramAb
gambhIramA
gaurIvapat
harakrodha
iyamsRShTA
jAmerAtriS
kuchadurga
likhamtyAH
mAbhIbilAm
mAbhIvalay
mAbhiramdh
mAbhisamge
mirmetavyo
payodharas
rachayatiy
romAvalIra
romAvalIvi
romAvalibh
samuditaku
saumdaryasyamam
svarmAvadA
tasyAHprav
umUlitAlAm
utumgastamabhAr
vayasIshis
yUmAmdhair
