Chamsaimya
adyadhArAm
adyadhArAs
apUrmApila
asyashrIbh
bhobhoHshr
bhojapratA
bhojapratApAgmi
bhojatvadA
bhojatvatk
dhArAdhIsh
dhAreshatv
kUrmaHpAtA
mIraxIregR
mijAmapiga
muktAHkeli
pamthAHsam
pratApabhI
rAjamumjak
shrIbhojas
shuktidvay
spRShTAkRS
svargAdgop
tvachitebh
tvadyashoj
vidvadvRmd
yathAyathA
