Akulashcha
AsthitaHst
AvAsotsuka
Avishadbhi
abhibhUyas
abhitApasa
abhitigmar
adhvAmamai
agrasAmuSh
amshupAmib
amurAgavam
aparAhmash
astAvalamb
astamgatavatisa
avibhAvyat
ayamapikha
ayamapipur
ayamasauga
baddhakosh
bhAmubimba
dUralagmap
dhmAtAbhAlatalA
drAgaimdrI
drutashAta
eShavRxash
gADhamprau
gatavatidi
gatavatyar
gatayApura
jagadivaba
kAmtadUtya
kRtopakAra
kRtvAprabu
kariShyati
kotrabhUmi
madhyamopa
mahadbhiro
mamtrasams
mavakumkum
milIyamAma
miryadvAsa
moravirmac
muktamUlal
pAshchAtyA
pRthugagam
pUrvAmxama
pUrvabhAga
paripatati
pashyapash
patatiravi
prAchImAla
prAmjalAva
purAmarash
raverastam
ruchidhAmi
sAmdhyamas
sAmdhyarAg
sairamdhrI
samdhyAtAmDavac
samdhyAvad
shuchiriti
spRShTolas
sthAmamAhm
tApamairiv
tadrodomta
udayagirit
upasamdhya
utaramtivi
vilokyasam
viralAtapa
vishleShAk
vyomastApi
yAtosmipad
