ajAmamdAhA
bhogAmabhu
chiramdhyA
chitabhUvi
damtaiHpra
deshedeshedurAs
dhAvitvAsu
dhamavAmit
dhamyAmAmg
jamaivavya
kRtvAshast
kuchautupa
mAbhyastAb
machAkArik
machArAdhi
madhyAtamp
mamtrodbhA
maprAptAmi
modharmAya
pumaHprabh
rAtriHsaiv
taratarala
vidyAmAdhi
xAmtamaxam
xomIparyaT
yAtamyauva
