ahamchatva
ahokemedRs
amRtamchAT
bAlemAthav
bhavitrIra
ekaivakavi
kAtaryamdu
mAtaHkimya
makAramama
prashamsam
rAjamkamak
rAjamkamakavarS
shabdAkhya
stutamstuv
varmayamti
vemIbhUteS
yatsamdarb
