AchAmtakAm
AdAmasyapr
AdaumavApr
AdityachamdrAvamalAm_1
AgachChadu
AhArodvigu
AhUteShuvi
AhaveShuch
AjmAbhamgakarAm
AjmAbhamgomarem
AjmAkIrtiH
AjmAmAtrap
AkArairimg
AkAremaiva
AkaraHkAra
Alasyamstr
Alasyopaha
ApadAmApat
ApadAmkath
Apadartham
Apadarthamdhama
Apadimitra
ApadiyemopakRta
ApadyumArgagama
ApamAshAya
AparitoShA
ApatsumitramjAm
Arambhagur
ArogyamAmRmyama
Arogyamvid
AropyateshilAsh
ArtAdevAma
AsamevamRp
Ashrayitav
AshritAmAm
Asuramkula
AtmAmamprathama
Atmabuddhi
AtmamashchapareShAmc_1
AtmodayaHp
AvAsaHkriy
AvirbhUtAm
AyAchaturt
AyAtechati
AyuHkarmac
AyurvitamgRhachChidr_1
Chedashcha
IrShyIghRm
IshvarAHpi
RmakartApitAsha
RmasheShas
ShaDdoShAH
ShaTkarmob
ShaTkarmobhidya
ShaTpadaHp
abalAyatra
abhibhUtopyavaj
abhidrohem
abhimAmavatomam
abhimukhamihatasyasa_1
abhrachChAyAkha
abhrachChAyAtRm
abuddhimAs
abudhAajam
achalAkama
achirAdhiS
achiremapa
adAtAvamsh
adhamAdhamamichChamt_1
adhamambAd
adharasyam
adhodhaHpa
agAdhahRda
agmaudagdh
agmihotramgRham
agmihotrap
agumasyaha
aherivagam
ahosAhajik
aishvaryAd
ajAmivapra
ajAyuddhamRShis
ajamApuruS
ajarAmarav
ajmovAyadi
akAmDapAta
akRtopadra
akRtvAmija
akRtvApauruSham
akRtyamyat
akasmAdveS
akimchidap
akulImopim
akulepatit
alabdhamchaival
alabhyamlabdhuk
alasasyaku
aliramusar
alpIyasAme
alpechChur
amAhUtovis
amAyakemav
amRtamdurl
amRtamshishirev
amabhidhyAparas
amabhijmog
amadAmAtparamdA
amamtapAramkila
amamtramax
amarghyama
amavasarec
ambhAmsija
ambhasAbhi
amdhatvama
amekashAst
amemamarty
amiShTAdiS
amirloDita
amjamasyax
amtaHprata
amtaHpurac
amtaHpuradhamAd
amuchitaka
amudimamam
amugamtums
amukUlAmvi
amupAlayat
amuyAtAmek
amvayAgata
amyAyavite
amyAyopArj
amyadAbhUS
amyamAshra
amyamukhed
amyapratAp
apAyasamda
apRShTastu
apamAmampuraskR
aparAdhepi
aparAdhoma
apatyadars
aphalAmidu
apikApuruShobhI
apisamAmas
apisampUrm
apisthAmuv
apisvalpamasaty
apragalbha
aprakaTIkR
apratibudd
apriyAmyapikurvAmoya_1
apriyasyApipath
aputrasyagRhamshUmya_1
apyekavams
apyumatapa
arAvapyuch
aramyamsAr
arasikajam
arthAgamom
arthAhasam
arthAmAmar
arthAturAmAmagu
arthIlAghavamuC
arthamAsha
arthomarAm
aruchirmis
asAdhyamam
asAraeShas
asArekhalusamsAresAr_1
asAvadhAme
asUyayAhat
asamAmetap
asamAptaji
asamaiHsam
asambhAvya
asambhavag
asamtuShTa
asatIbhava
asatpralAp
asatyatAmi
ashRmvamap
ashaThamal
ashaktaHsa
ashochyAmI
ashochyomi
ashvamaiva
ashvapluta
asthiramjIvitam
astiputrov
atidAmAdba
atidAximyayuktA
atidUrapat
atidarpeha
atigambhIrebhUp
atiparichayAdav
atiparichayAdavajmAi_1
atiparichayAdavajmAs_1
atiprachamDAbah
atitejasvy
atithirbAl
ativyayoma
atyAsamAvimAshA
atyamtamam
atyuChrite
atyuShmAts
auShadhArt
avRtikamty
avagachCha
avajmAmAtp
avajmAtruT
avamdhyako
avamshapat
avasarapaThitAv
avashemdri
avidheyobh
aviditapar
avidvAmapi
avidyaHpur
avidyamjIv
avijmAtapr
avishrAmam
avivekamat
avivekimib
avyAkarama
avyApAreSh
axarAmipar
axaradvaya
ayashaHprA
ayuddhehiy
ayuktamsvA
ayuktamyuk
bAlAdapigr
bAlasakhit
bAlebAlAvi
bahiHsarvA
bahubhirma
bahubhirmu
bahutarahi
bahvAshIsv
