AdhmAtoddh
ChAyAsamsh
ChAyAviyog
amgAraiHkh
apishishir
atyachCham
bAlemAleya
balavadapi
bhrAmyachI
dalitakoma
deshedeshejaDim
duShprexya
grIShmakAl
grIShmoShm
haramtihRd
jalArdrAHs
kAmisthAmA
kAramjImku
kathamivat
mAkamdadru
mUlambAlak
midadhired
mijAmkAyac
mukhakRtab
pAshchAtya
prAyashcha
prachamDab
pratigatam
rajamichar
ravituramg
rikteShuvA
samjAtapat
sarvAshAru
sphItamshI
subhagasal
tadAtvasmA
taptAmahIv
vAtAkIrmav
vyomavyAlo
xomItalesh
