AsItAmrama
Asechetsva
ahomukaShT
ambAtuShya
aprastAvas
arthAmasamtimac
arthematuv
atyamtavib
ayelAjAmuc
bhadrevAmi
bhagmAmvay
chAmDAlash
dAmamadata
dAridryAdh
dAridryAma
dAridryAtp
dAridryabh
dAridryash
dAridryaxi
dAridryema
dRShTamdur
dUyekAmtAk
dadhatimaj
dagdhamkhA
dhamairvim
dhamamyadi
dhamyAstem
dharmArthakAmah
duHkhamduH
dvAvimAvam
ekohidoShogumasamipA_1
gatesuhRdi
ghRtalavam
hedAridrya
ihalokepid
jIvamtyart
kaHsvabhAv
kamThegadg
kimchAmyai
kimkaromik
kimvAchyam
kubjasyakI
lajAvataHk
mAbhUjamah
mArodIshch
mAtaHpApIy
mabhixAdur
madgehemuS
matathAbAd
maurkhyams
mirasthamA
mivAsashch
mosevAvihi
pIThAHkach
pRthukArta
parIxyasat
paurebhyom
paxavikala
phalAshimo
rAtraujAmu
sakhekheda
saktUmChoS
samgamaiva
samtopimav
shIlamshAt
shItamadhv
shItemAdhy
shUmyamapu
sheShabASh
suhRdAmhid
tAvatsamti
utiShThaxa
utiShThaxamamek
utthAyahRd
vAsaHkhamD
vAsashchar
vImAvamsha
vRddhomdha
varamhimar
varamvamam
vidhAturdv
vikasAmira
xutxAmAHsh
yadAtubhAg
yadimAmaku
yaiHkArumy
yemaivAmba
yogamgAmat
