ahimRpamch
ajmasyArdh
amitramkur
bhUmipatAv
dUrataHsho
dvAvevachi
khAdamagac
kimimdyaHk
mUrkhAyatr
mUrkhasyap
maurkhyama
mijamAshay
samsArayat
shakyovAra
shokasthAm
shuShyatik
sumukhaHsu
suvijmashc
svAyatamek
tatpriyama
yadAkimchi
yasyaShaSh
