AsvAdyasva
adRShTamuk
agrelaghim
amusaratik
amyatoyadi
bhrAtardhA
dAridryAmalasam
daridrasya
daurgatyem
daximAshAp
dehItivach
dehItivakt
dvAredvAre
ekematiShT
gaterbhamg
gurutAmupa
hRdilajoda
jamasthAme
kAkaAhvaya
kAmamjIrma
karAmprasA
kataratpur
kvagamtAsi
mIchatAmam
mavImadIma
miShkamdAH
pamgovamdy
prAmAmAmba
purataHpre
sAdhurevAr
samtApitAm
samtisvAdu
sevevamAma
shUrAHkepi
svArthamdh
tAvamahatA
tAvatsarva
tIxmadhAre
tRmAdapila
uDImAgumap
utamarmadh
vAsovalkal
vadamAchab
vaktrAdudv
vepathurma
vidyAvataH
yAchakavIr
yAchamAhip
