amRtamchAT
dRShTipUta
ekAxarampa
ekaivakavi
gatepivaya
gobhirvipr
hastasyabh
kAtaryamdu
kimtayAdam
mAstividyA
makAramama
masAsabhAyatram
prashamsam
sadbhistul
satyAmusAr
satyamvivR
satyasyadu
satyasyava
satyemabra
shabdAkhya
stutamstuv
sukhamshet
uktasyasha
varmayamti
yathAchita
yatsamdarb
