AchArachUr
ArogyambhA
AyurgatAga
Dimbhomamd
abhyAsapar
agredIrgha
akrUrasyam
akrUroyama
astamgatep
avemavyApA
bAlyAmekRS
bAlyegokul
bhUShamIya
bhadremura
bhavamtyak
dUremalayo
dalamatasp
dhyAmAbhyA
imAmyadhik
jIyAdevasy
jIyAdravis
jayatihare
kArAgArepr
kRtArivamc
kailasemav
kamThamAli
kelikumjeS
mAtaHkimya
mamyeramye
mavamItama
mirgumamsa
mirgumetig
murArimura
muralitvay
pashupAlav
rAdhadhara
rAmomAmababhUva
sapAtuvome
sheShAsheS
shrIkRShma
shrutervAc
shyAmameva
stUyatestU
tApichChag
tAvadevaha
tamchauram
tapasyamta
tevemudhva
tvadbAhodd
ubhayatrAp
vemustvada
vikretukAm
xIraxAlita
yuShmatkRS
