Ahavejagad
amtarviShm
arbhakArti
daityemdrA
devatvatkarumap
dvirbhAvaH
etAHsampra
gamDAbhoge
jaDAjaData
kAThimyamkuchak
kIrtiHshrI
kaumudIvat
kimadhyAhm
mRtyadbhar
madIyemAma
mamerudamD
miryachCho
mishAratma
pUrvAdrist
samarpitAy
shrIlaxmIm
shrImadvai
smAtastvad
sthUmAyAma
tasmaimama
tvayilocha
vichitrach
vidyAratma
