bahumAtrak
dUtIdamaya
dUtishvAsa
dUtitvayAk
kimtvamigU
miHsheShac
pArshvAbhy
rajamyAmam
sAyamsmAma
shvAsaHkim
svimkemamu
tvamdUtimi
