amamtamAma
amviShyakh
athasvasth
bhavabIjAm
brahmAdaxa
charAchara
dhyAmAbhyA
dikAlAdyam
karmikAdiS
lokatrayas
madhyAhmAr
mamaHsvata
mamovAmasA
mityamirAv
pramavodha
sarvaHkilA
shakyamyam
viShmurvAt
vishveshov
yaHsRShTis
yasmAdvish
yathAtathA
