Adaupremak
Amamdamamt
amkamilIma
aparmaival
autsukyema
bAlIyutash
bhixArthIs
bhixuHkvAs
brahmAdayo
chamDIjamg
chiramAviS
dIptaxudve
dashopamiS
dhUmavyAku
dishyAmahA
gomAsAyami
harakamTha
hegamgAdha
heherambak
jagatIdhar
jamAmtarIm
jamghAkAmD
jyAkRShTib
kRtAbhiShe
kailAsAlay
kamThochit
lagmaHkeli
mAtarbrUhi
mAtastAtaj
mRmAlavyAl
pArvatImoS
pamchAsyap
paulastyap
prachamDac
pratyAsama
purAritamu
rAmAdyAcha
rAmArchitA
rachayatis
samdhyArAg
saroruhAmA
satvAdisth
savrIDAday
shamyAkasy
shirasidhR
shrutvASha
svedasteka
svedasyamd
tadvaHpram
tapasvIkAm
udvAhAropi
umAlamAbhi
vaktramshI
vaxaHpIThe
vemIbamdha
vidrAmerud
viramchimA
yasyAmghri
