AsamAmpura
AshAbalava
AshAmAmamamuShy
AshAvalamb
AshAyAyedA
AshaivarAx
AsiShyesuk
ahotRShmAv
akartavyeS
amIShAmprA
amgamgalitampal
apimerUpam
bhixAshama
bhrAmtamde
bhrAmtamyA
chakradhar
chyutAdamt
dAridryasy
damtAvishl
damtairuch
dimayAmimy
dugdhamcha
gadodamtAd
gatamtatAr
girirmahAm
ichChatish
khalolApAH
lajetvamaj
mAmemechCh
mAstyamyAt
mamorathar
miHsvovaSh
samArambhA
shAmtermAt
tAvadgumAg
tRShmAhich
tRShmAkham
tRShmAmche
tRShmedevi
tRShmedevimamas
tRShmekRSh
tRShmetvam
temAdhItam
tvAmudaras
utkhAtamid
valibhirmu
vapuHkubjI
vartateyem
vibhUtirar
vidvatAcha
vivekavyAk
xutRDAshAH
yAsAjagatp
yathAhishR
yatrakAmas
yauvamamja
