AdAvevagaj
ArUDhaxiti
amyUmomata
athochakai
drutadrava
gajavrajAk
garIyasaHp
gatemukhac
heShAghoSh
kvachilasa
mabhomadIv
madAmbhasA
mahIyasAma
mirIxitumv
purAsharax
sajamtAmku
samasthalI
samulasadi
shiroruhai
susamhatai
tUmIrabamd
viShamgibh
viShamgimi
yodhaireva
