abdairvAri
adhyAyodha
atyuktauya
ayemRpatim
bhUjAmekim
bhamgAkIrt
chitramtap
dIpayamrod
devatvadbh
devatvadbhujada
devatvatkarumapratAp_1
drAgAkramy
durvArArAt
kAmtArejal
mArtamDama
mAryaHkumk
pratyarthi
rAjamsaptA
shambhurmA
shrImadvIrAdhiv
tAdRgdhIrg
tavArimArI
tvatkhamgA
tvatpratAp
tvatpratApatapa
uditepitav
ulAsyakAla
vadamtudev
yomAstAcha
yuShmatpra
