AkArasadRs
amAyAsemam
ekayAdvevi
gumigamaga
jugopAtmAm
khalupuShp
kimbhAgyam
mAbhyastAp
madhyAtamp
momeghAyit
sohamAjama
sthityaida
tRShmAmChimdhib
yasmimjIvatijIv
