Ahatamkuch
AmIlitAlas
AstAmdUrem
AyAtedayit
IShamIlita
IShatkampa
IdRshasyab
abhimavapu
amyakAlapa
aviditasuk
bAhupIDama
bhajamtyAs
brahmAmamd
chArumUpur
chiravirah
dRshAsapad
dhairyamul
dhamilobha
dorbhyAmsa
dukUlamdor
gADhAlimgamavAm
gADhAshleS
hArastruTy
hemakumbha
kAmtayAsap
kAmtekalit
kAmtetathA
kokaHstoka
maiShAvega
matebhakum
pAmipalava
pAmirodham
pRShThekam
pashyamtIm
patyuHprav
prApyamama
prApyatesm
pratyUhaHp
ratirabhas
sItkRtAmim
simdUramra
svAmimprab
svimmamDal
tavatamvit
tvamugdhAx
uddhatairm
ugrarUpamk
uroruhAmbh
vAramArtha
vidhRtAHpr
yadyadevar
