Agatyasamp
AyAmtyAdiv
atuhimaruc
ayamkhalum
ayamudayatimudr
bhUyomipIy
etatarkayachakr
ghaTamAmak
kIlAlaiHku
karamakhar
mIlatkaira
mamjiShThA
mavakamaka
mijAmshukA
misargasau
payasisali
puruhUtadi
tataHkokav
udayamayat
udayashikh
udayativit
umidrakoka
vitatapRth
xamamayamu
yAvamIrami
