AHkimartha
Adimadhyam
Akroshitop
AmaramAmtA
ApadgataHk
Apatsvevah
Arabhamtel
Arabhyatemakhal
AstAmamyat
AsthAmAlam
ChAyAvamto
Chimopiroh
abhedemopA
achimtyAHp
advaitamsu
adyApidurm
adyApimojj
ahokimapic
ahomahatva
amRtamkira
amavaratap
ambaramamU
amjalisthA
amtaHkaTur
amtyAvasth
amukurutaH
amurapimamiHprA
apAmidhimv
apakurvama
apexamtema
apivibhavi
apriyavach
apyApatsam
asAdhuHsAd
atikupitAa
aviratampa
ayamsvabhA
bAmamharir
bhaktirbha
bhavamtimamrAHt
bhavatisub
brUtemyasy
chAtakastr
chamdamamshItal
chamdraHxa
chirAyasat
chyutopyud
dAmAyalaxm
dAtAmadApa
dImAmkalpa
dIpAHsthit
dRShTadurj
dRShTvApid
dRshyamteb
damtidamta
dhamimopim
dharmetatp
dhavalayat
doShAkarop
doShAmapig
doShajAtam
doShogumAy
durjamasah
durjamavac
durjamavad
gamgApApam
garvamodva
gaurIpater
gavAdImAmp
gehamdurga
ghRShTamgh
ghaTojamas
gharmArtam
girayogura
gotrasthit
gumAyamted
gumagrAmAv
gumarAshim
gumimAmapi
gumimaHsam
gumopimUma
hRdayAmisa
hareHpadAh
hetoHkutop
idamhimAhA
ihAmekesam
ixoragrAtk
iyamumatas
jayamtijit
jayatihare
jitaroShar
kAchomamir
kAkaiHsaha
kaTukvamam
kalpadrumapratI
kamaThakul
kareshlAgh
karmejapAm
kasmAdimdu
kasyAdeshA
kemAdiShTa
kemAmjitAm
khalasakhy
khyAtimyat
kimadhumAk
kimapexyap
kimatrachi
kimchamdra
kimivAkhil
kimjamAcha
kimkUrmasy
lAbhaprama
lajAgumaug
mAbhUtsaja
mAgumIgumi
mAlokaHkri
mAlpIyasim
mAmtarvich
mAmyAevahi
mArikelasa
mArikelasamAkAr
mUkaHparAp
mUmamdugdh
mabhavatib
madurjamAm
magumAkvAp
mahAtmAmom
mahatAmprA
mahatAmtAd
mahatoHsuv
mahatopihi
mahibhavat
majamtopiv
makadAchit
mamasivach
mamratvemo
masAdhuHku
mavimochay
mijapadaga
mirgumamap
mirgumeShv
mukhemamod
mumchamtas
myAyaHkhal
pApamsamAc
pAtitopika
pAtrampavi
padmAkaram
parArthavy
paraduHkha
paropadesh
patamtivya
patitopirA
peshalamap
pibamtimad
prAyaHsvab
pradAmampr
prakAmamab
prakRtipra
prakaTAmya
prasAdamAd
prathamava
premaivamA
priyAmyAyA
priyaprAyA
rathasyaik
ratmAkaraH
sAbhimAmam
sAdhUmAmda
sAdhoHprak
sAdhurevap
sAgasepima
sAptapadIm
sAvalepamu
sadbhistul
sadvamshaj
sahasiddha
sajamAevas
sajamaevah
sajamasyah
sakRtkamdu
sampadiyas
sampadomah
sampatauko
samputsuma
samtaHsvat
samtaevasa
samtastRmo
samtomamas
samtopisam
sarvasyasa
satpUruSha
satpaxARja
satyamgumA
saujamyAmR
saujamyadh
setUpakram
shUmyepich
shUrAHsamt
shaileshai
sharadimav
shilAbAlAj
shlAghyaHs
shlokastus
shuddhaHsa
smehachChe
spRhamIyAH
subhAShitaiHprI
sujamamvya
sujamomayA
sukhalavad
suvRtasyai
svAdhImaiv
svAmyepesh
svAtmamyev
svabhAvama
svabhAvamajahAt
svalpApisA
svasthAmAd
tRShArtaiH
tRShmAmChi
tadapakRta
tamAmsidhv
tarumUlAdi
tesAdhavob
tevamdyAst
tulyamparo
tumgAtmamA
udadhirava
udamvachCh
udayatiyad
udayesavit
upacharita
upakAramev
upakAriShu
upakArimivItama
upakRtisAh
upakartumaprakA
upakartump
uparikarav
utamaHkles
utamamsuch
utkarShavA
vAmChAsaja
vAsaragamy
vachamaira
vadamampra
vahamtisho
vahatibhuv
vaigumyepi
vajrAdapik
vaktrevalg
vamdyaHsap
vamepisimh
vapuravihi
viShamagat
vidyAvivAdAyadh
vigRhItaHp
vijetavyAl
vikRtimaiv
vimAparIxA
vipadidhai
vipaxaHshr
vipriyamap
visRjamtya
vishvAbhir
vitetyAgaH
vivekaHsah
vratevivAd
vyatikarit
xAramjalam
xArovArimi
xayaxayimi
xudrAHsamt
yAchmApada
yaHprImaye
yadamIdash
yadetametr
yadidahaty
yadimdoram
yadvamcham
yairvAtUlo
yajAtevyas
yathAchita
yedImeShud
yogyatayai
