AlIbhiHsah
AstAmtAvadvacha
AstAmtAvadvacha
adRShTedar
adyApisumd
adyApisumd
bhavatuvid
bhavatuvid
bhavatyAvi
bhavatyAvi
bhitvAsady
bhitvAsady
chamdrodvA
chamdrodvA
dUramuktAl
dUramuktAl
daivAtpash
daivAtpash
dhUmajyoti
dhamyastam
dhamyastam
gUDhAlimga
gUDhAlimga
himAmshush
himAmshush
imdumkairavimIv
itovidyutp
itovidyutp
kRShmAteka
kRShmAteka
kasyAkhyAy
kasyAkhyAy
kimakArima
kimakArima
mAmAkAshap
mAmAkAshap
masmAmamac
masmAmamac
mityambrah
rAtriHkAla
rAtriHkAla
samxipyeta
samxipyeta
shyAmAsvam
shyAmAsvam
smartavyoh
smartavyoh
smigdhamAl
smigdhamAl
sthAmAmirg
sthAmAmirg
sumadhyevA
sumadhyevA
svapmepide
svapmepide
tapatitamu
tapatitamu
tvAmAlikhy
tvAmAlikhy
tvadIyamuk
tvadIyamuk
tvadrUpAmR
tvadrUpAmR
tvamdUrama
tvamdUrama
tvayAmamas
tvayAmamas
valgatkach
valgatkach
yadekaHkAs
yadekaHkAs
yadimdorla
yadimdorla
yadiprAmAe
yadiprAmAe
yataHprabh
yataHprabh
yatvametra
yatvametra
