athamixipy
dharmayajm
jayashrIrA
kalyAmolAs
kausalyAla
mahAmadIya
pavamaHpav
preyaHshre
rAjyaprAjy
rAmomAmababhUva
rAmorAjama
rAmovirAmo
raghuvamsh
sadyaHpurI
shrIrAmarA
svAjmAyAmv
vamecharAm
yadamtaram
yamarAjama
yasyapAdam
