AchAraprabhavod
UrdhvabAhu
aShTAdashapurAm
ajarAmarav
amAmAteShu
amityAmish
balambalav
chirAbhipa
dAmamyajmA
dRshyateya
deshabhamg
dhAramAddh
dhRtixamAd
dhamasyaya
dharmAebam
dharmaevah
dharmalesh
dharmasyap
dveShyopis
evamevamamuShye
evamevapRt
gAyatrImAt
jalabimdum
karshitArt
kevalamshA
lokAmAmtuv
lubdhasyam
mAdaroyatr
masAsabhAyatram
masIdamapi
mimdamtumI
parachakra
parasyapID
parityajed
prAmAmikIv
prabhAvArt
preyaHshre
sadayamhRd
sarvasyAsy
sarvathAdh
smRtyorvir
svasukhami
uchChairga
vedaHsmRti
vedapramih
vedokhilod
vidyAmitra
vratevivAd
yajmArthAt
yasyadharm
yatraruchi
