AyAtishriy
abhyAsaHka
adambhAhir
alikulamam
amRtamtada
amalamRmAl
amuShyAlAv
apAmgatara
asyAHsarga
asyAshchedgatis
atamdracha
chamdrojaD
chitemives
dRShTiHsAl
dRshaHpRth
dagdhovidh
eShAbhaviS
ekAmtasumd
etAHskhala
iyamvyAdhA
karpUremas
kimimduHki
kimkaumudI
kuchAbhyAm
kumkumapam
kvachitsab
lAvamyAmRt
mIlotpalol
mImavatIma
madevakamy
madhuravac
mamdamamda
mamopisham
medamukham
milImAvesh
mirmAmakau
mirmitsuHs
mirmuktasa
premkhamap
samIchImAc
saumdaryas
sphuramAmA
stamakalas
tamusparsh
udAsImAlIm
udayaduday
utumgastamabhar
vaktramcha
