Ashcharyamsamar
asyAsirbhu
bhUbhRmaulitaTI
chUDApIDAb
darpAmdhag
devatvatkarapad
dhArAdhara
kRpAmIyamk
khaDgavAri
kuramgAxyA
lekhamtIvy
mapaxavRti
rAjamvIrav
ripushriya
sadyaHkara
sarpIvaiSh
siktAyAmvI
varmayAmiv
