adhiyAmimi
chamdroday
garjavAvar
jAtAHprAsA
jaladharam
kvaprasthi
mUDhemiram
majalpadas
malayajara
malikAchit
malikAmAly
mamdamidhe
meghAvarSh
muktamaukt
prAmeshama
rabhasAdab
samcharamt
sphuradura
urasimihit
utamsaHkek
vAtoddhUta
yadigarjat
yadvadahal
