AlApAmbhrU
AvRmotiyad
achalamcha
adharaHkis
amAghrAtam
amAkUtaire
amAyAsakRs
amtaramgam
amyeyamrUp
apakrAmteb
asambhRtam
atyumatast
ayamamkura
bAlyegehap
bhrUpalavo
bhruvaukAc
chAmchalyamchar
dRShTiHsha
dRshoHsImA
dRshyamdRs
dolAyAmjag
etasyAmrativala
idamparama
imetArumya
kelIkautuk
lAvamyAmRtamAhi
lAvamyAmRtamirj
mAtrAmarta
mRdulavali
madamturam
madhyasyap
mamdamdams
mashIlamdR
mishitasha
mukhamvika
myamchativ
pariharatiyathA
pragalbhAm
rekhAkAcha
sabhrUbham
samaddhoya
samamvilAs
sambhimayo
shromIbamd
smitamkimc
stamataTam
sthiratvam
tadAtvapro
tatasyAHka
udayatitar
umIlitamtU
utAlAlakab
utamchadva
vaxasyAvar
vistArIsta
xamamsaral
xobhamdhat
yadavadhiv
yathAyathAsyAHk
yathAyathAvisha
