AlApairmad
AstAmtAvat
AvartaHsamshayA
agrAhyamhR
alAbhAtpur
alaktakoyathAra
amRtamsAha
amRtamsaty
amamkurita
amarthitvA
amtaHkrUrA
amtarviSha
amyamuShya
apamDitAst
apasaratar
asaddharma
ataevamipI
avidvAmsam
bhartAyady
bhojamAchC
chaturaHsR
darshamAdg
ekemasmita
etAHsvArth
gumAshraya
hAsastUtka
hRdayamhar
hasamtampr
jalpamtisA
kAmamAmAki
kArkashyam
kemAmamavi
kulImArUpa
kurvamtitA
lokAmAmapi
mAdyatipra
mAsAmkashc
mAtiprasam
mabhayAmAp
madAmemama
makAmabhog
malajAmavi
mastrImAma
maviShemam
mayamavikA
muktAhAral
pamguShvap
rUxAyAmsme
raktobhijA
samayajmAm
samgatAmim
samohayamt
samudravIc
shAstrajmo
shRmuhRday
shambarasy
sthAmamAst
strIShumar
strImAmash
strImAmdvi
striyastuy
striyohimA
striyohimU
striyohyak
sumukhemav
surUpampur
svAtamtrya
tADitAapid
tAvatsyAtsupras
tasmAtsarv
ushamAveda
utamAmAmap
vidhAyAlIk
yAbhAryAdu
yAhishashv
yadamtasta
yadisyAchC
yadisyAtpA
yasyajihvA
yasyastrIt
yatrastrIy
yauvamevar
yomohAmyat
