ChidrAmveS
ambhojAxyA
bhItAsimai
bhrAtaHkam
bhrAtaHprA
dUtIvidyud
dvitraiHke
eShAphulak
ihajagatir
jamodurlax
kAmtekatya
kimutIrmaH
lolacholac
mArgepamka
palImAmadh
pratyAvRty
sitamvasam
udAmAmbuda
utxiptamka
