amubhavatayuvat
amyatrayUy
asamkhyapu
atADayatpa
idamidamit
mRducharam
mijamayama
mukhakamal
pAmaupadma
pUrvamdvir
salalitamavalam
samtudrumA
uchityapra
uparijatar
vijamamiti
vilasitama
vratativit
