AmRshadbhi
Ashulamghi
AvRtAmyapi
AyatAmguli
UrumUlacha
ambaramvim
chakrureva
gramthimud
kAmimAmasa
kAmimaHkRt
prApyamAbh
soShmamast
yuktAhArav
