ApAmDurAHs
ApUryamAmamacha
agadArkama
ahetuhasam
amamgapali
amamgemAba
arthAturAmAmagu
arumakiram
asarojabha
atamujvara
bAmeShvAro
balambalav
chamdrasad
chamdreshI
chetobhuva
dRShTvaikA
dampatyorm
dhamyAsiya
dhyAyatovi
ekamvaisev
ekamvastud
ekavastumd
evamevapRt
gADhAlimga
ghRtaplute
hArojalArd
hRdayatRma
imdriyAmimamobu
imdriyauri
ixurdamvas
jayamtyArd
jayatimama
kAlidAsakavitAm
kAmamayaev
kAmtetyutp
kAvyemaham
kRshaHkAma
karpUraiva
kimapikimapimam
kopastvayA
kulaguruba
kvaprasthi
mUmamAjmAk
madamAyama
magamyomam
makaThoram
meyamvirau
midrAkaita
pIThIpraxA
paripatati
prAsAdIyat
rathyAyAms
saekastrIm
sampadamat
shambhusva
shivashiva
stokAstras
strImAchap
tAvadevakR
tavoChritA
tyAgohisar
ubhayIprak
vAmijyemag
vaxaHsthalIvada
vishvAmitr
vistAritam
yAbhiramam
yaHshAstra
yadvAmAbhi
yasyakArmu
