AhUtopisahAyair
adyashItam
alamhimAmI
ambarameva
amyomyAhat
apidimamam
aviralapha
bhRshamadU
chakrecham
dadhatyadh
dhRtatuShA
gajapatidv
hUmIsImamt
hasamtImvA
hehemamtas
hemamtedad
hemamtehim
hemamtepat
hepAmthapr
himaRtAvap
himadhaval
idamayukta
jarIjRmbha
kAmimohamt
kamyAprasU
katipayasa
laghumitRm
lajAprauDh
mItvochair
michayimil
prAleyasha
priyatamem
prodyatpra
shItAmshor
shItArtipr
shukaharit
vepamtekap
vikasatisU
vramabhRtA
