amadAmampa
amapexitag
amekasamsh
apUrvaHkopikosh
apUrvakopi
arthAturAmAmagu
bubhuxitai
ekamshAstr
gatepivaya
gumampRchC
harturmago
jmAtibhirv
krodhovaiv
mAstividyA
mAtevaraxa
machorahAr
matemavRdd
pamchavidy
parasparav
sadvidyAya
samyojayat
sarvadravy
satyAmusAr
shriyaHpra
shumaHpuch
tapovidyAc
vasumatIpa
vidyAmAmam
vidyAmAmamarasy
vidyAmitra
vidyAshast
vitambamdh
