AdAyAmRtap
AkAshavApI
AmIlAmkara
AmamAmihar
Amamdamkum
adyApistam
amRtadravairvid
amalAtmasu
amdhakArag
amgulIbhir
amtikAmtik
athalaxmam
athamamath
athapathik
avibhAvite
ayametrAda
ayamudayaticham
ayamudayatichamdrovA_1
bhAmAvabhy
bhUyastarA
bhavamodar
chamdrapAd
dIpayamath
darpodreka
dhvAmtaugh
digbAlAkar
divasambhR
dyAmirumdh
eShasvarga
etaduChvas
etadvibhAt
etatkokaku
gagamavipi
gamdhamudd
hamsoyathA
idamAbhAti
imdurimdur
jaTAbhAbhi
jyotsmAcha
kailAsAyit
kalAmidhir
kalayAtuSh
kalitamamb
kalolaxipt
kapAlemArj
karamudaya
khyAtAvaya
kokAmAkula
kukubhAmuk
kumudeShva
kvaitamArt
lekhayAvim
mAmimIjama
mAshayamto
mIlamIraja
mRgAmkoyam
mabholatAk
mamojarAja
maprasAdam
mavachamdr
mavakumkumachar
mayUkhamak
mayamAmamd
ojasApikha
omkAromada
pIyUShAshr
padmimyAda
pashyapakv
pashyodeti
pimaShTIva
prAchIbhAg
prAchImAch
prAmAyAmop
prasAramap
prathamama
prathamamk
pratikAmim
preritaHsh
rajamImavA
raktabhAva
ruddhamirg
sAyamAyamu
sadyashcha
samrambhod
samvidhAtu
sashrIkamT
shAratAmga
shItAmshus
shamkarArd
shliShyata
sudhArashm
svairamkar
svarvAmAmR
tArAxatAmp
taiHsarvaj
tataHkumud
tathApaura
trimayamac
trimayamaj
udamajikai
udayataTAm
udayatikal
udgarbhahU
udgatemdum
ujRmbhatek
ujjhatIshu
umatAvamat
umateShush
upagUDhave
upajIvatis
vIthIShuvI
vasudhAmta
vishadapra
vyAmashesh
xIrAbdherl
yAtasyAsta
yaHshrIkha
yamprAkpra
yatpIyUSha
yepUrvamya
yugapadvik
