AchChamexi
AkarmitAmi
Akarmyasma
AsAremamah
AsvAdyamir
AyAtAHsakh
abhibhavat
abhimavaya
adRShTapUrvamas
ambhovAham
amuyayauvi
asthiramam
athamabhas
atishayita
barhIrauti
bhadrAtrag
bhrAtaHpAm
bhrAtaHpAmthapr
chaladbalA
chamdrabim
dRShTvADam
dalitamauk
devevarSha
dhArAdhaut
dhIramvAri
dhRtabisav
dishAmhArA
drutasamIr
dviradadam
eShyamtyav
etetedurat
gajakadamb
garjativAr
ghamasamayamahI
ghamatarag
ghamataraghamav
ghamodyame
gokarmamgA
grAmesmimp
jaladapamk
kAlemIlaba
kAmemakAma
kimchimudr
kimgatemay
mRtyachamd
mabhasijal
mahImamDal
maitadvAri
malimahuta
mamdamudri
mamdayatik
mavakadamb
mavapayaHk
meghATopai
meghairvyo
midritasya
mijarajaHp
mirIxyavid
mishIthelI
mukulitama
paTalamamb
parisurapa
patatyavir
pramatibhi
pramayakop
prasaradal
pratidisha
prauDhamau
pravasataH
rAtrauvAri
raTatujala
rasatitaru
sadmamyeva
sajalajala
sakhihepas
samadashik
sarajasama
sarvatrodg
shItalAdiv
shamayatij
shamitatAp
shikhimikU
shishirasI
shrutvAbAl
shrutvAtam
sphuradadh
sphuramtaH
udyogaHxay
umidrakamd
upaitigham
uparighama
uparipayod
utkamThaya
utphulArju
vAtAvAmtuk
vajrematri
varShAsujA
vasamtavis
vigatarAga
viramatagh
vyathitama
xapAmxAmIk
yAkAmimIsA
yathAramdh
