AdAvamjama
AdyaHkopas
AlambyAmgamavAp
AvAsovipim
abhimavama
abhradhvAm
achChimmayamAmb
achakamata
agamitagum
amayamapat
amgAmimeda
amgeShvAbh
amgemamgaj
amurAgavar
aviralaparivAha
bibhrAmAhR
chUDAratma
chamdramchamdam
chiramapik
chitrAyatv
chitrotkIr
dRShTecham
dadhatisph
datosyAHpr
dhAtuHshil
gAyatigIte
gRhItamtAm
galatyekAm
gehAdamgam
hArAvasheS
hastAmbhojevada
jyotsmAmau
kArshyamchetpra
kamdarpajv
kimpRShTem
kitavaprap
kodamDovis
kushalamta
kusumAdapi
kusumashayamepy
mAyamumcha
mIrAgAmRga
mRgashishudRsha
mahAramAhA
maiShThury
mamarUpakI
masavarmom
muhurvyaja
pAmirmirav
prAdurbhUtemava
prAmeshata
rAkAsudhAkaraka
ruShTekApa
sAmasmAtim
sAromAmcha
sAsarvatha
sAsumdarat
sAvirahada
sakhIbhixA
sakhiyadit
samketakum
samprAptev
saudhAdudv
shokotpati
shvAsAmumc
smaradavat
smarashara
subhagatva
tApombhaHp
tasyAmahAv
tavasAkath
tavaviraha
tavavirahe
tavaviraheharim
tavavirahemalay
tvAmamjamI
tvachimtAp
tvadvirahe
tvamvimirj
tvayidRShT
tvayidRShTaevat
uddhUyetam
uditampriy
umIlamtima
upatApyamA
varShamtis
viShatAmiS
vimumchamt
vipulapula
virahaviSh
virahetava
vyajamamvy
xamamUrchC
xamamapivi
yAchamdras
yAdaximAtv
yAvadyAvad
