AhArevirat
AsamAmaval
adhikarata
alasavalit
amudimamad
ayamvipAko
bhagimimad
chimtAbhiH
gopAyamtIv
jAmImastav
lAvamyadra
mAtaHkamhR
malimIdalatAlav
maprItiHpa
mugdhedorl
mukhampAmD
muktAhAram
pAmDuxAmam
paxmAgragr
sAyamdAmag
sahasAhRda
sakhipativ
saracharis
shomaukoma
shvAsAstes
ujRmbhAmam
utpAdayaty
vAsastadev
vilulitama
vishrAmtod
viyogavahm
xAmamgAtra
yatAlIdala
