AdimadhyAm
AdityAmAma
Akalpamura
ArdrAparAd
alamkArapr
amAdRtacha
ativipulam
avyAdviShm
bhaktiprah
bhimdamarA
bhrAmyamda
brahmAmDak
chakrabrUh
chatvAraHp
dRShTasyay
dRkpAtaHka
ekAbhAryAp
ekasthamjI
jIyAdambud
jayatisabh
jayatisamA
jayatyupem
kachakucha
kamalAkuch
kelichalAm
kimasthimA
kimchimirm
laxmIkapol
laxmIpAmid
laxmIshcha
mAbhIpadma
madhyemRdh
mamastribh
mamthaxmAd
miShpratyU
mipatatiki
mirmagmema
mugdhemumc
pAyAtsavaH
padmApayod
paryamkIkR
pratibimbitapri
pratyagrom
romAvalImu
sakalabhuv
sauvarmAmk
shrIdhAmid
shrIkarapi
shrIrAjIvA
shreyaHsad
shyAmamshr
udvRtadait
vAsamAdvAs
vRmdArakAy
vaxaHsthal
viramatima
yamshaivAH
yasyodyadb
yemotthApy
