AbhyAmkuch
alpamirmit
amyomyamut
apitadvapu
astyaprati
avivekikuc
badarAmala
bhAtimirvi
chamchatkA
divAmisham
etatkuchas
jambIramvA
jambIrashr
kAThimyama
kalashemij
kamakakram
karAgrajAg
karatalayu
kimarmadAy
kuchAvasyA
kuchadvaye
kumbhausad
mRdvamgika
madhyamtam
madhyemata
madhyoyamb
mayamamIra
miHshamkas
mukhemduch
paTavighaT
payodharag
prAyashchi
pratipaxoy
puShpeShor
ratyAptapr
sAdhArayat
sAstamAmja
satAmsamAl
shamketach
shukIchamc
svakIyamhR
svayambhUH
tAlamprabh
tamvamgyAH
tapopakamT
tasyAstumg
tatkuchauc
uChvasamDa
udbhedampr
udbhimkimi
yUmAmohama
yamabhAtit
