ApatkAletu
AyatyAmgumadoSh
dRShTaduHk
jAmIyAtpre
kadarthitasyApi
magamasyAg
prAyaHsara
priyAduhit
sahasAvida
vAsukigara
yadaivarAj
yadetametr
