AkarmitAmi
adRShTapUrvamas
ambhovAham
barhIrauti
bhadrAtrag
bhrAtaHpAm
bhrAtaHpAmthapr
dhIramvAri
eShyamtyav
grAmesmimp
kimgatemay
mRtyachamd
mabhasijal
meghairvyo
mishIthelI
pramatibhi
prasaradal
rAtrauvAri
rasatitaru
sakhihepas
shikhimikU
shishirasI
shrutvAbAl
shrutvAtam
uparighama
uparipayod
vAtAvAmtuk
viramatagh
yathAramdh
