bhUyodarsh
itarakarma
itaratApas
kAvyasarol
kaviHkarotikAvyAmivi_1
kavitAkAmi
mAstiviShA
magamdhika
prAtaHdyUt
rasajmaras
sAhityasam
sahRdayaja
sajayatika
simhovyAka
sparshamAt
tiShThatig
xAmtishche
