DhakAmAhat
abhyutthAm
akarumakAt
asArabhUtesamsA
bAlayAvAyu
bahirmalol
bhaktiHpre
chaturtheh
dIpadashAk
gatAgataku
jIvatijIva
kAryeShuma
kAryedAsIr
kalyotthAm
lajAvashAv
mAmAgmivar
mAstistrIm
mAtaHparam
magRhamgRh
makAryeShu
mirvyAjAda
mityamsmAt
pAmigrAhas
padamyAsog
parapatimi
patirhidev
pratipaxem
pratirajam
rUpasampam
sadAprahRS
saivasAdhv
samchArora
shushrUShA
shushrUSha
shvashrUsh
smAmAmbhob
tAvatkulas
talpeprabh
vRxamUlepi
vashyabhAv
yasyabhAry
