AstRtebhim
aprabhUtat
bhAtumAmas
kAmasamgar
karakisalayamdh
khimAlasam
mIvyAmsamy
mRShTaTamd
mepathyAda
mirlopauku
mirvRtesur
mukhamjRmb
muktAbhUSh
papAtagamg
papAtamero
prexamIyak
priyAyAHpr
priyakRtap
ratAmteprA
samgatAbhi
samyAsamak
savyAsavyo
shAmtemama
shayAmasyo
subhruvAma
suratavira
sutamushru
svAmimbham
tamdrAtumd
upabarhama
vishramArt
vyAlolaHke
vyAmishrai
yoShitaHpa
