cholamIlam
dRShTvAdar
hAramgumph
kAchimivAr
kRChremakA
kRtamvapuS
kimchitkum
mAmtaHprav
majAmesamu
medamsamIr
mijapAmipa
shilpamdar
shvashrUms
vidUrekeyU
yAmyAmpriy
