AdhArAyadh
AkAramAtravijmA
AyAsashata
aShTaugumA
adAtApuruShasty
amadAmampa
amarthitar
amukUlevid
apimAmasad
arthimemat
arthovimai
atyadbhuta
ayamijaHpa
bhavamtima
bhixAmapyu
bhujyamtes
bodhayamti
buddhiryAs
dAmambhogo
dAmampriya
dAmapAtram
dAmatIrtha
dAmemabhUt
dAmemapAmi
dAmemashlA
dAmopabhog
dAtAmIchop
dAtavyambh
dAtavyamit
dadatjalam
daridrAmbh
davadahama
dehidehIti
deyambhohy
dhamabAhul
dilIshvaro
dravimArja
dvAramdvAramaTa
gauravampr
ghaTamamvi
grAsAdardh
hastasyabh
iyatyapyet
jAtashcham
jIvamjIvay
jarAmarama
kAmamvAcha
kalpasthAy
karmalamghigumo
karmastvac
kimtayAkri
kiyatIpamc
laxmIpayod
mAptamyatk
mAxarAmipa
mIyatAmkat
mRmAmdhuri
mavAryapip
mityamyAgu
myAyamArga
pItodakAja
pRthvIpRth
pamkasamka
paripUrmag
prApitemac
pratyupaku
pumsAmumat
raxamtikRp
rudrodrimj
sArthaHpra
sahasrasha
saivaparam
shaktaHpar
shateShujA
svachitapa
tamvedhAvi
turagashat
tvayisatis
tyAgaekogu
tyAgogumov
upArjitAmA
utkrAmtash
utpAditAsv
vAmIrasava
vAridastRp
yAchitoyaH
yaHprasham
yachChamja
yadAsivish
yadAtiyada
yathAplave
yathAsharI
yatpradeya
yatpumyaph
yohidatvAd
yomadadAti
yudhyamtep
