AHpAtrIsyA
AdauhAlAha
Alibalisha
Amamdamama
AsImaHshay
AsamArgama
AstAmdUrat
AyAtAmadhu
UrUrambhAd
adhRtapari
adyApisAmamasis
adyApitAmkamakachamp_1
adyApitatpracha
adyApitiSh
ahamihasth
ajamiprati
alasavalitamugd
alasavilasitAmA
amalastamb
amishamapi
amtargatAm
apUrvodRsh
apasaratim
aratiriyam
aravimdami
asulabhAsa
bakulamAli
batasakhik
bhasmIbhUt
bhrUchApav
bibhemisak
chaxuHprIt
dAximyamal
dRgamtavyA
dUramastud
dahamajAma
daivAdaham
dalatihRda
darshamapa
datvAkaTAx
dhamyAsAgR
divyachaxu
durvArAHsm
etAmimiHsa
garaladrum
grasatikop
gumjamtipr
hAdhiksAki
hAhAdevisp
hAromAropi
hRdayamiSh
hRtvApadma
hamtAlisam
idAmImtIvr
idamashish
jAmekopapa
jAmesvapma
jagatijayi
jvalatugag
jyotsmImsh
kAmtAmukha
kaTAxemApI
kadAkAmtAg
kalayatima
katimasamt
kimesadgur
kimtiShThA
kramasaral
kumdamdamt
kusumashay
kutaHprema
kvAkAryams
lIlAsmitem
lImevaprat
lajaivodgh
mIlemdIvar
mUmamayame
madUtIsamc
madakalakR
mamaHprakR
mamdAdaraH
mamdasmite
mameduHkha
mamorAgast
mapumsakam
mavaxojAsh
mayamemami
mayisakapa
metrekhamjamaga
miShkAsaya
midrArdham
midrelocha
mukhamtasy
pAdAmguShT
pItoyataHp
pamchasAya
pamchatvamtamur
parAgaiHkA
pashyAmitA
pikAlIvAch
prAsAdesAd
premArdrAH
priyasakhi
pumarapimi
purastAdga
rAjalATaph
rAkAsudhAk
rAtrirmedi
ripurivasa
rolambAHpa
rolambomad
sAbAlAvaya
sAmeyadyap
sAsamchAra
sAsaumdary
sAvidyAdha
samgamavir
samutIrmet
satipradIp
saumitrema
savyAjamti
shItAmshur
shamvattva
shashIramx
shrutvAmAm
shvAsAevam
skhaladams
smAtAtiShT
smeramvidh
sparshaHst
svapmedRSh
tAmhemacha
tAmimdusum
tAmisparsh
tadAmugdha
tadamgamap
tadviyogas
tamvIsAyad
taptemahAv
tasmimpamc
tasyAHkimu
tasyAmsuta
tayAgADham
vAramvAram
vAryamtAmd
varamasaud
vilIyemduH
vipatsimdh
viramatavi
vishAlAxyA
vrIDAyogAm
yAHpashyam
yAjayashrI
yAmtyAHsar
yAmtyAmuhu
yAsyAmItis
yAtAHkimil
yAtrAmamga
yadIyabala
yadipriyAv
yadismarAm
yadvismaya
yatrAkRtis
yatraxipAm
