AgatAmagam
Ahitemumad
Amamairvic
ChAditaHka
amyayAmyav
aprasamapa
arpitamras
baddhakopa
bhartRShUp
bhartRbhiH
bhrUvilAsa
bibhrataum
bimbitambh
chArutAvap
chitamirvR
dRshyatepA
datamAtava
datamiShTa
dhArShTyal
gamDabhiti
hAvahAriha
hrIvimoham
kAmtasamga
kApishAyam
kasyachits
kopavatyam
krAmtakAmt
kupyatAshu
kurvatAmuk
lIlayaivas
labdhasaur
lochamAdha
mAgamamama
mAmabhamga
mApumastam
mUrtimamta
madyamamda
oShThapala
pAmadhauta
pAtumAhita
pItashIdhu
pItastuShA
pItavatyab
pipipriyas
prApyategu
prAtibhamt
rAgakAmtam
rUpamaprat
rumdhatIma
sAgasipriy
sAvasheSha
sajitAmisu
samtamevac
shIdhupAma
shIdhupAmavidhu
shamkayAmy
sopachAram
svAdamemas
svAditaHsv
tulyarUpam
uddhatairi
vAsasAmshi
vIxyaratma
xIbatAmupa
xImayAvaka
yAkathamch
yoShiduddh
