abhyumatAm
amUlyasyam
amamuramam
asyAHpadau
atyapUrvas
charamakam
dRshyamtem
dashakaira
jAgrataHka
jagadvadhU
mitambapID
priyAsakhI
stamabhAro
yAmematamv
