Acharatidu
Adaulajaya
Ajamasiddh
AkhuHkailA
ArAdhyamAmobahu
AshleShobA
IShalabdap
Urjitamsaj
abhUdambho
agumakamog
ahamevagur
ahobatakha
ahobatamah
ahokhalabh
ahokuTilab
ahoprakRti
akAramAviShkRta
akarumatvamakAr
akasmAdeva
alakAshcha
alpashruta
amarairamR
amirAkRtat
amtarmalim
amtarvAmim
amyasyalag
apUrvArasa
apUrvaHkop
apakAramas
apavAdAdab
apivetiSha
arthagraha
ashaktAHsh
asthAmAbhimives
atimalimek
atipelavam
atisatkRtA
atohAsyata
avexyasvAt
avikArimam
axamAlApav
ayaHpimDai
bahumiShka
bhagmakumb
bhamDastAm
bhixokamth
bhixomAmsa
bibhetipis
bibhrAmAga
bisamalama
bodhitopib
chArutApar
dRShTovAsu
dUrAduChri
dUrepipara
dUyedurmed
dahyamAmAH
daivAdapyu
dhAtastAta
dhUmaHpayo
dharmAramb
digamtekhe
doShAlokam
doShapoSha
durjamaHkR
durjamaHpa
durjamaHparihar
durjamaHpr
durjamaHsu
durjamaHsujamIk
durjamadUS
durjamairu
durjamampr
durjamemas
durjamodUS
durjamodoS
durjamomAr
dushcharit
ekIbhAvamg
ekaHkhalop
ekesatpuru
etesmigdha
evamevamah
gumAmAmsAs
gumApavAde
gumadoShAv
gumimAmgum
hAlAhalamk
hasatilasa
hastIhasta
hastaivabh
hepaximAga
hitvAmadam
hrepayatip
itaradevab
jADyamhrIm
jIvamagrah
jIvamapima
jihmolokaH
jihvAdUShi
kAkhalemas
kApUruShaH
kRtamapima
kRtvApiyem
karmetatka
karotipUjy
kastUrikAm
kastUrikAmRgAmA
kastvambha
katipayadi
khachitram
khalAmAmdh
khalAmAmka
khalAstuku
khalaHkaro
khalaHsaja
khalaHsarS
khalaHsatr
khalaHsuja
khaleShusa
khalemadha
khalomasAd
kurvatesva
kvachitkAr
kvachitsar
kvapishuma
labdhoChrA
labdhodayo
lubdhaHsta
mAgachCham
mAgadamtAm
mAlimyamav
mArImAmvac
mAshcharya
mAyAmayaHp
mIchaHsamu
mRddhaTava
mRgamImasa
mRgamadaka
maShTamapA
madevAyama
madhurimar
madurjamaH
mahatAmyad
maivAtmamo
malajatesa
malayabhuv
malikAgata
mamaHkhale
mamasyamya
maparampha
matathechC
maushchadu
maviShamam
mavimApara
mayatmakoT
miShmAtopi
mirmAyakha
mukhampadm
mukhemaike
pAShAmobhi
pAdAhatopi
pAkashchem
paraguhyag
paramarmad
paramarmag
paraparitA
paravAdeda
paripUrmep
parishudAm
paritapyat
paritoShay
paropakAra
pishumaHkh
pishumatva
potodustar
prAkpAdayo
prApyavita
prArambhat
prAyaHkhal
prAyaHparo
prAyaHprak
prAyaHprakAshat
prAyaHsvabhAvam
prakRtikha
prakaTamap
prakhalAev
prerayatip
rUxamvirau
ravirapima
rekhalatav
rogomDajom
sAdhayatiy
sAdhuShvev
sAshcharya
sadAkhamDa
sadvamshajAtamg
sagumApiha
sahajAmdha
sahavasatA
samarpitAH
sampatauka
samtApamoh
samtaHsach
samtyajyas
samvardhit
sarpaHkrUr
sarpadurja
sarvathAvy
satsAdhuvA
satyadharm
shalyamapi
shamayatiy
shatamdady
shirasimih
smehemabhU
sugRhItama
sujamAmAma
sukumArama
svArthamir
svabhAvaka
svabhAvema
svagumAmiv
svakapolem
svapaxachC
svarasemab
svayamapib
tasmimgatA
tathAribhi
taxakasyav
tyajaticha
tyaktvApim
udbhAsitAk
umatampada
upakAraparaHsva
upakAropim
upakRtamam
upakRtirev
vAtAhArata
vAyurivakh
vRhativiSh
vRthAdugdh
vRthAjvali
vRtimsvAmb
vadamevimi
vakrAHkapa
vakratAmbi
vakratvamu
vamdyAmimd
vamshAvala
vamsheghum
varamatyam
vardamamvA
vardhetesp
varjamIyom
varmastham
vayasaHpar
veshyAvesh
viShadhara
viShamAmal
vidhvastap
vidvAmupAl
vidyAvivAd
vidyayAvim
vishikhavy
vivRmvatIp
vyomisavAs
xudrodbhav
yAlobhAtsa
yadiparagu
yadvIxyate
yadyadiShT
yashaHsaur
yasmimvams
yathAdoSho
yathAgajap
yathAparop
yathAvRShT
yathAyatha
yatkhalukh
yatsmRtvai
yeShAmprAm
yeshramamh
yuktamyayA
