chItkArair
chalamtiye
ekashaktiprahAr
krIDAsucha
mAtamgaira
prAkAragop
raxamtipax
saimyotAra
setumsambh
sharajAlam
striyovatA
tAvadgarjamtivI
yadvadvama
yataHsatya
yatogajair
