Arambhagur
amitramkur
amukurutaH
chamdamAda
dharmadhva
durjamaHpr
gomUtramAt
hastIhasta
jayatihare
karotisvam
karpUradhUlIrachitAlavAlaHk_1
kastvamvRd
khalaHkaro
khalaHsarS
labdhodaya
mArikelasamAkAr
mukhampadmadalA
pAShamDimo
pamkairvim
paramarmaghaTam
paravAdeda
paroxekAry
sAxarAvipa
sadbhistul
sarpadurja
shakaTampa
shriyamdis
upakRtavat
vidyAvivAdAyadh
vratevivAd
vyAlambAla
yasmimyath
yasyakopot
