amAdiShTop
araiHsamdh
bahUmAmapy
bhRtyairvi
dvijAapima
mavimApArt
maxudhApID
rAjAtuShTo
sAlasamukh
sArAsArapa
sImAsamkoc
sImAvRddhi
shirasAvid
shrutvAsAm
svAmyAdesh
svAmyAdiSh
svAmyuktey
tADitopidu
tRmairAveS
yomAhUtaHs
